administrative_area_level_1,administrative_area_level_2,administrative_area_level_3
Argentina,Catamarca,Pomán
Argentina,Salta,Cerrillos
Argentina,Buenos Aires,Saavedra
Argentina,Chaco,Tapenagá
Argentina,Buenos Aires,Las Flores
Argentina,Córdoba,Minas
Argentina,Buenos Aires,General Pinto
Argentina,San Juan,Pocito
Argentina,Santa Cruz,Magallanes
Argentina,Buenos Aires,Hurlingham
Argentina,Buenos Aires,Punta Indio
Argentina,Santa Fe,San Lorenzo
Argentina,Buenos Aires,Puán
Argentina,Neuquén,Zapala
Argentina,Tucumán,Trancas
Argentina,Ciudad de Buenos Aires,COMUNA 13
Argentina,La Pampa,Limay Mahuida
Argentina,Chubut,Sarmiento
Argentina,Buenos Aires,General Guido
Argentina,Neuquén,Chos Malal
Argentina,Tucumán,Juan Bautista Alberdi
Argentina,Mendoza,Maipú
Argentina,Santa Fe,General Obligado
Argentina,La Pampa,Rancul
Argentina,Santa Fe,Caseros
Argentina,Buenos Aires,Bolívar
Argentina,Río Negro,"25 de Mayo"
Argentina,Buenos Aires,Magdalena
Argentina,Chaco,"2 de Abril"
Argentina,Buenos Aires,Quilmes
Argentina,Santiago del Estero,Copo
Argentina,Buenos Aires,"25 de Mayo"
Argentina,Entre Ríos,San Salvador
Argentina,Buenos Aires,General Belgrano
Argentina,La Pampa,Loventué
Argentina,Chubut,Tehuelches
Argentina,Chubut,Rawson
Argentina,Buenos Aires,Carlos Tejedor
Argentina,La Pampa,Hucal
Argentina,San Juan,Capital
Argentina,Córdoba,Cruz del Eje
Argentina,Ciudad de Buenos Aires,COMUNA 12
Argentina,Mendoza,Godoy Cruz
Argentina,Formosa,Laishi
Argentina,Córdoba,Tulumba
Argentina,Buenos Aires,Tigre
Argentina,Santiago del Estero,Aguirre
Argentina,La Rioja,Chamical
Argentina,Salta,Santa Victoria
Argentina,Corrientes,Mercedes
Argentina,Chaco,"25 de Mayo"
Argentina,Entre Ríos,Paraná
Argentina,Misiones,Montecarlo
Argentina,Buenos Aires,Pehuajó
Argentina,Misiones,Iguazú
Argentina,Entre Ríos,Islas del Ibicuy
Argentina,Entre Ríos,Nogoyá
Argentina,Misiones,Libertador Grl. San Martín
Argentina,Salta,Capital
Argentina,Buenos Aires,
Argentina,Córdoba,Unión
Argentina,La Rioja,Castro Barros
Argentina,Chaco,Comandante Fernández
Argentina,Ciudad de Buenos Aires,COMUNA 02
Argentina,Buenos Aires,Brandsen
Argentina,Neuquén,Aluminé
Argentina,Tucumán,Burruyacú
Argentina,Ciudad de Buenos Aires,COMUNA 06
Argentina,Formosa,Patiño
Argentina,Mendoza,Junín
Argentina,Córdoba,Tercero Arriba
Argentina,Buenos Aires,Pinamar
Argentina,Ciudad de Buenos Aires,
Argentina,Chubut,Río Senguer
Argentina,La Pampa,Lihuel Calel
Argentina,Buenos Aires,Capitán Sarmiento
Argentina,La Pampa,Chical Co
Argentina,Chubut,Mártires
Argentina,Buenos Aires,Tres de Febrero
Argentina,Santiago del Estero,Belgrano
Argentina,Chaco,Independencia
Argentina,Jujuy,Rinconada
Argentina,La Rioja,General Juan F. Quiroga
Argentina,Buenos Aires,General Juan Madariaga
Argentina,Buenos Aires,Maipú
Argentina,Tierra del Fuego,Ushuaia
Argentina,Jujuy,El Carmen
Argentina,Buenos Aires,Presidente Perón
Argentina,Catamarca,Santa María
Argentina,Buenos Aires,Tornquist
Argentina,Buenos Aires,Malvinas Argentinas
Argentina,Tucumán,Leales
Argentina,Neuquén,Lácar
Argentina,Corrientes,Paso de los Libres
Argentina,Misiones,San Ignacio
Argentina,Entre Ríos,Uruguay
Argentina,Buenos Aires,Laprida
Argentina,Buenos Aires,General Rodríguez
Argentina,Buenos Aires,San Miguel
Argentina,Santa Fe,Constitución
Argentina,Santiago del Estero,Pellegrini
Argentina,Buenos Aires,Moreno
Argentina,La Pampa,Trenel
Argentina,Chubut,
Argentina,Catamarca,Ambato
Argentina,San Luis,Ayacucho
Argentina,Corrientes,Curuzú Cuatiá
Argentina,Chaco,
Argentina,Buenos Aires,Lobos
Argentina,Buenos Aires,Villa Gesell
Argentina,La Rioja,Independencia
Argentina,Buenos Aires,Merlo
Argentina,Chaco,"9 de Julio"
Argentina,Corrientes,Santo Tomé
Argentina,Buenos Aires,General Alvear
Argentina,Buenos Aires,Esteban Echeverría
Argentina,Río Negro,General Roca
Argentina,San Juan,Iglesia
Argentina,Córdoba,Ischilín
Argentina,Buenos Aires,Avellaneda
Argentina,Tucumán,
Argentina,Buenos Aires,Castelli
Argentina,San Juan,Angaco
Argentina,Córdoba,Capital
Argentina,Chaco,Sargento Cabral
Argentina,Buenos Aires,Morón
Argentina,Buenos Aires,San Antonio de Areco
Argentina,Neuquén,Pehuenches
Argentina,Tucumán,Simoca
Argentina,Buenos Aires,Daireaux
Argentina,Tierra del Fuego,
Argentina,San Luis,La Capital
Argentina,La Pampa,Puelén
Argentina,Catamarca,El Alto
Argentina,Mendoza,Tunuyán
Argentina,Catamarca,Capayán
Argentina,San Luis,Gobernador Dupuy
Argentina,Corrientes,Goya
Argentina,Salta,General Güemes
Argentina,Buenos Aires,Salliqueló
Argentina,Chaco,San Fernando
Argentina,Salta,Cachi
Argentina,Santiago del Estero,Jiménez
Argentina,Misiones,San Pedro
Argentina,Río Negro,Ñorquincó
Argentina,Buenos Aires,San Vicente
Argentina,Chaco,Presidencia de la Plaza
Argentina,La Rioja,San Blas de los Sauces
Argentina,Buenos Aires,Marcos Paz
Argentina,Buenos Aires,Alberti
Argentina,Buenos Aires,San Pedro
Argentina,Buenos Aires,Florencio Varela
Argentina,Jujuy,Humahuaca
Argentina,Buenos Aires,Luján
Argentina,Corrientes,Capital
Argentina,Buenos Aires,General Las Heras
Argentina,Río Negro,Adolfo Alsina
Argentina,Buenos Aires,Navarro
Argentina,Buenos Aires,Baradero
Argentina,Buenos Aires,Roque Pérez
Argentina,Mendoza,San Rafael
Argentina,Buenos Aires,Ezeiza
Armenia,,
Aruba,,
Australia,South Australia,
Australia,Western Australia,
Australia,Queensland,
Australia,New South Wales,
Australia,Victoria,
Australia,Tasmania,
Australia,Northern Territory,
Australia,,
Australia,Australian Capital Territory,
Austria,Niederösterreich,Zwettl
Austria,Steiermark,Bruck-Mürzzuschlag
Austria,Niederösterreich,Tulln
Austria,Tirol,
Austria,Niederösterreich,
Austria,Niederösterreich,Sankt Pölten Land
Austria,Oberösterreich,Perg
Austria,Steiermark,Leoben
Austria,Niederösterreich,Melk
Austria,Niederösterreich,Horn
Austria,Oberösterreich,Steyr Land
Austria,Oberösterreich,Linz
Austria,Burgenland,Jennersdorf
Austria,Salzburg,Salzburg
Austria,Niederösterreich,Amstetten
Austria,Tirol,Innsbruck
Austria,Steiermark,Graz
Austria,Kärnten,Sankt Veit an der Glan
Austria,Kärnten,Klagenfurt
Austria,Tirol,Kufstein
Austria,Niederösterreich,Krems an der Donau Stadt
Austria,Salzburg,Tamsweg
Austria,Burgenland,Eisenstadt
Austria,Oberösterreich,Eferding
Austria,Burgenland,Oberwart
Austria,Vorarlberg,Bludenz
Austria,Kärnten,Wolfsberg
Austria,Niederösterreich,Gmünd
Austria,Tirol,Schwaz
Austria,Oberösterreich,Kirchdorf an der Krems
Austria,Oberösterreich,Braunau am Inn
Austria,Salzburg,Sankt Johann im Pongau
Austria,Tirol,Kitzbühel
Austria,Kärnten,Klagenfurt Land
Austria,Niederösterreich,Wiener Neustadt
Austria,Burgenland,Güssing
Austria,Oberösterreich,Grieskirchen
Austria,Vorarlberg,Feldkirch
Austria,Tirol,Reutte
Austria,Niederösterreich,Gänserndorf
Austria,Kärnten,Völkermarkt
Austria,Wien,Wien
Austria,Burgenland,Oberpullendorf
Austria,Oberösterreich,Wels Land
Austria,Niederösterreich,Neunkirchen
Austria,Oberösterreich,Schärding
Austria,Kärnten,Feldkirchen
Austria,Steiermark,Murau
Austria,Niederösterreich,Hollabrunn
Austria,Niederösterreich,Lilienfeld
Austria,Steiermark,Leibnitz
Austria,Oberösterreich,Linz Land
Austria,Kärnten,
Austria,Steiermark,
Austria,Niederösterreich,Scheibbs
Austria,Steiermark,Murtal
Austria,,
Austria,Oberösterreich,
Austria,Vorarlberg,
Austria,Steiermark,Hartberg-Fürstenfeld
Austria,Niederösterreich,Waidhofen an der Thaya
Austria,Vorarlberg,Bregenz
Austria,Burgenland,Mattersburg
Austria,Salzburg,Hallein
Austria,Oberösterreich,Steyr
Austria,Kärnten,Spittal an der Drau
Austria,Niederösterreich,Baden
Austria,Tirol,Imst
Austria,Tirol,Landeck
Austria,Niederösterreich,Sankt Pölten
Austria,Kärnten,Villach
Austria,Steiermark,Graz Umgebung
Austria,Oberösterreich,Freistadt
Austria,Salzburg,Zell am See
Austria,Burgenland,Rust
Austria,Oberösterreich,Ried im Innkreis
Austria,Niederösterreich,Mistelbach
Austria,Steiermark,Liezen
Austria,Steiermark,Voitsberg
Austria,Niederösterreich,Korneuburg
Austria,Oberösterreich,Urfahr Umgebung
Austria,Oberösterreich,Vöcklabruck
Austria,Niederösterreich,Krems an der Donau Land
Austria,Steiermark,Weiz
Austria,Niederösterreich,Mödling
Austria,Oberösterreich,Rohrbach im Mühlkreis
Austria,Vorarlberg,Dornbirn
Austria,Burgenland,Eisenstadt Umgebung
Austria,Oberösterreich,Gmunden
Austria,Kärnten,Hermagor
Austria,Tirol,Lienz
Austria,Niederösterreich,Waidhofen an der Ybbs
Austria,Niederösterreich,Bruck an der Leitha
Austria,Tirol,Innsbruck Land
Austria,Steiermark,Deutschlandsberg
Austria,Kärnten,Villach Land
Austria,Oberösterreich,Wels
Austria,Burgenland,Neusiedl am See
Austria,Salzburg,Salzburg Umgebung
Austria,Niederösterreich,Wiener Neustadt Land
Austria,Steiermark,Südoststeiermark
Austria,Burgenland,
Austria,Salzburg,
Austria,Wien,
Azerbaijan,,
Bahamas,,
Bahrain,,
Bangladesh,,
Barbados,,
Belarus,,
Belgium,Vlaanderen,West-Vlaanderen
Belgium,Wallonie,Hainaut
Belgium,Bruxelles,Bruxelles
Belgium,Bruxelles,
Belgium,,
Belgium,Wallonie,
Belgium,Vlaanderen,Antwerpen
Belgium,Wallonie,Liège
Belgium,Wallonie,Brabant Wallon
Belgium,Vlaanderen,Limburg
Belgium,Vlaanderen,Oost-Vlaanderen
Belgium,Wallonie,Luxembourg
Belgium,Vlaanderen,Vlaams Brabant
Belgium,Vlaanderen,
Belgium,Wallonie,Namur
Belgium,Ostbelgien,
Belize,,
Benin,,
Bermuda,,
Bhutan,,
Bolivia,,
"Bonaire, Sint Eustatius and Saba",,
Bosnia and Herzegovina,,
Botswana,,
Brazil,Minas Gerais,Felício dos Santos
Brazil,Minas Gerais,Mar de Espanha
Brazil,Santa Catarina,Romelândia
Brazil,Paraná,Santa Fé
Brazil,Goiás,São Francisco de Goiás
Brazil,Paraíba,Pocinhos
Brazil,São Paulo,Santa Lúcia
Brazil,Paraná,Salto do Lontra
Brazil,São Paulo,Apiaí
Brazil,Rio Grande do Norte,Caiçara do Norte
Brazil,Piauí,Floriano
Brazil,Minas Gerais,Mamonas
Brazil,Minas Gerais,Fernandes Tourinho
Brazil,São Paulo,Santa Clara d'Oeste
Brazil,Piauí,Várzea Branca
Brazil,Espirito Santo,Cachoeiro de Itapemirim
Brazil,Alagoas,Messias
Brazil,Minas Gerais,Lagoa Dourada
Brazil,Minas Gerais,São Geraldo da Piedade
Brazil,Goiás,Santa Isabel
Brazil,Minas Gerais,Manhuaçu
Brazil,Minas Gerais,Resende Costa
Brazil,Goiás,Israelândia
Brazil,Minas Gerais,Ladainha
Brazil,Minas Gerais,São Francisco de Paula
Brazil,Goiás,Santo Antônio do Descoberto
Brazil,Minas Gerais,Igaratinga
Brazil,Rio Grande do Sul,Dom Feliciano
Brazil,Rio Grande do Sul,Frederico Westphalen
Brazil,Bahia,Itamari
Brazil,Goiás,Vianópolis
Brazil,Bahia,Almadina
Brazil,Maranhão,Urbano Santos
Brazil,Bahia,Ibicaraí
Brazil,Minas Gerais,Catuti
Brazil,Minas Gerais,Amparo do Serra
Brazil,Rio Grande do Sul,Cruz Alta
Brazil,Bahia,Itagimirim
Brazil,Mato Grosso,Cotriguaçu
Brazil,Paraná,Santo Antônio do Paraíso
Brazil,Minas Gerais,Pai Pedro
Brazil,Paraíba,São Domingos
Brazil,Rio Grande do Sul,Getúlio Vargas
Brazil,Minas Gerais,Paula Cândido
Brazil,Rio Grande do Norte,Tenente Ananias
Brazil,Maranhão,Primeira Cruz
Brazil,Bahia,Adustina
Brazil,Ceará,Icó
Brazil,Espirito Santo,Águia Branca
Brazil,Maranhão,Porto Franco
Brazil,São Paulo,Tatuí
Brazil,Piauí,Sebastião Leal
Brazil,Pernambuco,Pombos
Brazil,São Paulo,Mira Estrela
Brazil,Bahia,Abaíra
Brazil,Minas Gerais,Corinto
Brazil,Tocantins,Almas
Brazil,São Paulo,Mogi das Cruzes
Brazil,Rio Grande do Sul,Barra do Ribeiro
Brazil,Piauí,Francinópolis
Brazil,São Paulo,Timburi
Brazil,Piauí,Gilbués
